Next Train ID,Final Train ID,Distance from station,BS_1_1,RSRP_1_1,RSSI_1_1,RSRQ_1_1,BS_2_1,RSRP_2_1,RSSI_2_1,RSRQ_2_1
17,1,3,481,-56,-29,-9,481,-62,-39,-8
17,1,7,481,-50,-29,-9,481,-62,-39,-8
17,1,15,481,-50,-29,-9,481,-62,-39,-8
17,1,22,481,-50,-29,-9,481,-62,-39,-8
17,1,32,481,-50,-29,-9,481,-62,-39,-8
17,1,44,481,-50,-29,-9,481,-62,-39,-8
17,1,54,481,-55,-29,-9,481,-62,-39,-8
17,1,65,481,-55,-29,-9,481,-62,-39,-8
17,1,79,481,-55,-29,-9,481,-62,-39,-8
17,1,93,481,-55,-29,-9,481,-69,-39,-8
17,1,106,481,-44,-15,-9,481,-69,-39,-8
17,1,118,481,-44,-15,-9,481,-69,-39,-8
17,1,135,481,-44,-15,-9,481,-69,-39,-8
17,1,152,481,-63,-36,-9,481,-58,-30,-8
17,1,166,481,-63,-36,-9,481,-58,-30,-8
17,1,184,481,-63,-42,-9,481,-58,-30,-8
17,1,199,481,-63,-42,-9,481,-58,-30,-8
17,1,218,481,-63,-42,-9,481,-58,-30,-8
17,1,238,481,-63,-42,-9,481,-58,-30,-8
17,1,253,481,-63,-35,-9,481,-58,-30,-8
17,1,269,481,-63,-35,-9,481,-58,-30,-8
17,1,289,481,-63,-35,-9,481,-58,-30,-8
17,1,309,481,-47,-23,-9,481,-68,-40,-8
17,1,324,481,-47,-23,-9,481,-68,-40,-8
17,1,344,202,-61,-37,-14,481,-68,-40,-8
17,1,360,202,-61,-37,-14,481,-68,-40,-8
17,1,380,202,-61,-37,-14,481,-68,-40,-8
17,1,397,202,-61,-37,-14,481,-49,-24,-8
17,1,417,202,-61,-30,-14,481,-49,-24,-8
17,1,433,202,-61,-30,-14,481,-59,-30,-8
17,1,454,202,-61,-30,-14,481,-59,-30,-8
17,1,470,202,-61,-30,-14,481,-59,-30,-8
17,1,491,202,-61,-30,-14,481,-59,-30,-8
17,1,512,202,-61,-36,-14,481,-59,-30,-8
17,1,529,202,-61,-36,-14,481,-59,-30,-8
17,1,550,202,-61,-36,-14,128,-66,-30,-13
