Next Train ID,Final Train ID,Distance from station,BS_1_1,RSRP_1_1,RSSI_1_1,RSRQ_1_1,BS_2_1,RSRP_2_1,RSSI_2_1,RSRQ_2_1
23,1,3,463,-53,-28,-9,463,-65,-38,-8
23,1,9,463,-53,-28,-9,463,-65,-38,-8
23,1,15,463,-53,-28,-9,463,-65,-38,-8
23,1,24,463,-53,-28,-9,463,-65,-38,-8
23,1,33,463,-53,-28,-9,463,-65,-38,-8
23,1,44,463,-53,-28,-9,463,-65,-38,-8
23,1,55,463,-53,-28,-9,463,-65,-38,-8
23,1,68,463,-53,-28,-9,463,-65,-38,-8
23,1,82,463,-60,-35,-9,463,-65,-38,-8
23,1,94,463,-60,-35,-9,463,-65,-38,-8
23,1,109,463,-60,-35,-9,463,-65,-38,-8
23,1,122,463,-60,-35,-9,463,-54,-28,-8
23,1,136,463,-60,-35,-9,463,-54,-28,-8
23,1,149,463,-60,-35,-9,463,-54,-28,-8
23,1,159,463,-52,-28,-9,463,-54,-28,-8
23,1,170,463,-52,-28,-9,463,-60,-35,-8
23,1,182,463,-52,-28,-9,463,-60,-35,-8
23,1,194,463,-52,-28,-9,463,-60,-35,-8
23,1,203,463,-52,-28,-9,463,-68,-35,-8
23,1,211,463,-52,-28,-9,463,-68,-35,-8
23,1,221,463,-64,-40,-9,463,-60,-35,-8
23,1,231,463,-64,-40,-9,463,-60,-35,-8
23,1,238,463,-64,-40,-9,463,-60,-35,-8
23,1,245,463,-55,-31,-9,463,-60,-35,-8
23,1,253,463,-55,-31,-9,463,-60,-35,-8
23,1,260,463,-55,-31,-9,463,-60,-35,-8
23,1,266,463,-55,-31,-9,463,-60,-35,-8
23,1,274,463,-55,-31,-9,463,-60,-35,-8
23,1,281,463,-55,-31,-9,463,-60,-35,-8
23,1,289,463,-55,-31,-9,463,-60,-35,-8
23,1,296,463,-55,-31,-9,463,-60,-35,-8
23,1,302,463,-55,-31,-9,463,-60,-35,-8
23,1,310,463,-50,-31,-9,463,-60,-35,-8
23,1,316,463,-50,-31,-9,463,-66,-35,-8
23,1,324,463,-50,-31,-9,463,-66,-35,-8
23,1,331,463,-44,-17,-9,463,-66,-35,-8
23,1,340,463,-44,-17,-9,463,-71,-44,-8
23,1,346,463,-44,-25,-9,463,-71,-44,-8
23,1,355,463,-44,-25,-9,463,-71,-44,-8
23,1,361,463,-44,-25,-9,463,-71,-44,-8
23,1,369,463,-44,-25,-9,463,-71,-44,-8
23,1,376,498,-63,-36,-9,463,-71,-44,-8
23,1,382,498,-63,-36,-9,463,-57,-32,-8
23,1,388,498,-63,-36,-9,463,-57,-32,-8
23,1,396,498,-58,-36,-9,463,-57,-32,-8
23,1,406,498,-58,-36,-9,463,-44,-17,-8
23,1,413,498,-52,-27,-9,463,-44,-17,-8
23,1,421,498,-52,-27,-9,463,-50,-17,-8
23,1,428,498,-52,-27,-9,463,-50,-17,-8
23,1,436,498,-52,-27,-9,463,-50,-17,-8
23,1,444,498,-46,-27,-9,463,-50,-17,-8
23,1,451,498,-46,-27,-9,463,-59,-32,-8
23,1,457,498,-46,-27,-9,463,-59,-32,-8
23,1,466,498,-46,-18,-9,463,-59,-32,-8
23,1,474,498,-46,-18,-9,463,-54,-26,-8
23,1,481,498,-53,-29,-9,463,-54,-26,-8
23,1,489,498,-53,-29,-9,463,-54,-26,-8
23,1,496,498,-53,-29,-9,463,-54,-26,-8
23,1,504,498,-53,-29,-9,498,-54,-26,-8
23,1,511,498,-66,-43,-9,498,-54,-26,-8
23,1,519,498,-66,-43,-9,498,-49,-17,-8
23,1,526,498,-66,-43,-9,498,-49,-17,-8
23,1,534,498,-66,-43,-9,498,-49,-17,-8
23,1,541,498,-66,-43,-9,498,-44,-17,-8
23,1,549,498,-58,-37,-9,498,-44,-17,-8
23,1,557,498,-58,-37,-9,498,-44,-17,-8
23,1,564,498,-58,-37,-9,498,-44,-17,-8
23,1,572,498,-58,-37,-9,498,-54,-27,-8
23,1,579,498,-50,-27,-9,498,-54,-27,-8
23,1,587,498,-50,-27,-9,498,-54,-27,-8
23,1,596,498,-50,-27,-9,498,-54,-27,-8
23,1,602,498,-44,-18,-9,498,-54,-27,-8
23,1,609,498,-44,-18,-9,498,-54,-27,-8
23,1,617,498,-44,-27,-9,498,-54,-27,-8
23,1,626,498,-44,-27,-9,498,-54,-27,-8
23,1,632,498,-44,-27,-9,498,-54,-27,-8
23,1,639,498,-44,-27,-9,498,-65,-38,-8
23,1,647,498,-66,-43,-9,498,-65,-38,-8
23,1,655,498,-66,-43,-9,498,-53,-28,-8
23,1,662,498,-66,-43,-9,498,-53,-28,-8
23,1,669,498,-66,-43,-9,498,-46,-19,-8
23,1,677,498,-66,-43,-9,498,-46,-19,-8
23,1,685,498,-66,-43,-9,498,-46,-19,-8
23,1,692,498,-66,-43,-9,498,-46,-19,-8
23,1,700,498,-66,-43,-9,498,-46,-19,-8
23,1,707,498,-66,-43,-9,498,-62,-35,-8
23,1,717,498,-52,-31,-9,498,-62,-35,-8
23,1,728,498,-52,-31,-9,498,-62,-35,-8
23,1,735,498,-52,-31,-9,498,-62,-35,-8
23,1,744,498,-45,-23,-9,498,-62,-35,-8
23,1,750,498,-45,-23,-9,498,-62,-35,-8
23,1,756,498,-56,-33,-9,498,-62,-35,-8
23,1,760,498,-56,-33,-9,498,-62,-35,-8
23,1,765,498,-56,-33,-9,498,-62,-35,-8
23,1,768,498,-56,-33,-9,498,-62,-35,-8
23,1,771,498,-56,-33,-9,498,-62,-35,-8
23,1,773,498,-56,-33,-9,498,-62,-35,-8
23,1,775,498,-56,-33,-9,498,-62,-35,-8
23,1,775,498,-56,-33,-9,498,-70,-43,-8
23,1,776,498,-56,-33,-9,498,-70,-43,-8
23,1,776,498,-56,-27,-9,498,-70,-43,-8
23,1,776,498,-56,-27,-9,498,-70,-43,-8
23,1,3,463,-51,-29,-9,463,-63,-37,-6
23,1,7,463,-51,-29,-9,463,-63,-37,-6
23,1,15,463,-51,-29,-9,463,-63,-37,-6
23,1,22,463,-51,-29,-9,463,-63,-37,-6
23,1,32,463,-51,-29,-9,463,-63,-37,-6
23,1,44,463,-51,-29,-9,463,-63,-37,-6
23,1,54,463,-51,-29,-9,463,-63,-37,-6
23,1,67,463,-44,-18,-9,463,-63,-37,-6
23,1,78,463,-44,-18,-9,463,-63,-37,-6
23,1,93,463,-58,-35,-9,463,-63,-37,-6
23,1,105,463,-58,-35,-9,463,-63,-37,-6
23,1,121,463,-58,-35,-9,463,-63,-37,-6
23,1,132,463,-58,-35,-9,463,-48,-17,-6
23,1,146,463,-58,-35,-9,463,-48,-17,-6
23,1,159,463,-58,-35,-9,463,-48,-17,-6
23,1,169,463,-58,-35,-9,463,-64,-38,-6
23,1,179,463,-48,-26,-9,463,-64,-38,-6
23,1,191,463,-48,-26,-9,463,-64,-38,-6
23,1,202,463,-48,-20,-9,463,-59,-38,-6
23,1,210,463,-48,-20,-9,463,-59,-38,-6
23,1,219,463,-67,-42,-9,463,-59,-38,-6
23,1,228,463,-67,-42,-9,463,-44,-19,-6
23,1,237,463,-67,-42,-9,463,-44,-19,-6
23,1,244,463,-67,-42,-9,463,-44,-19,-6
23,1,252,463,-67,-42,-9,463,-59,-33,-6
23,1,258,463,-61,-42,-9,463,-59,-33,-6
23,1,266,463,-61,-42,-9,463,-59,-33,-6
23,1,274,463,-55,-31,-9,463,-59,-33,-6
23,1,280,463,-55,-31,-9,463,-59,-33,-6
23,1,288,463,-50,-31,-9,463,-59,-33,-6
23,1,295,463,-50,-31,-9,463,-69,-41,-6
23,1,303,463,-50,-31,-9,463,-69,-41,-6
23,1,309,463,-50,-31,-9,463,-69,-41,-6
23,1,317,463,-50,-31,-9,463,-69,-41,-6
23,1,324,463,-50,-24,-9,463,-69,-41,-6
23,1,332,463,-50,-24,-9,463,-69,-41,-6
23,1,339,463,-44,-24,-9,463,-69,-41,-6
23,1,347,463,-44,-24,-9,463,-69,-41,-6
23,1,355,463,-44,-15,-9,463,-69,-41,-6
23,1,362,463,-44,-15,-9,463,-57,-32,-6
23,1,368,463,-44,-15,-9,463,-57,-32,-6
23,1,375,498,-44,-15,-9,463,-57,-32,-6
23,1,382,498,-44,-15,-9,463,-57,-32,-6
23,1,388,498,-62,-37,-9,463,-57,-32,-6
23,1,395,498,-62,-37,-9,463,-57,-32,-6
23,1,402,498,-52,-29,-9,463,-46,-19,-6
23,1,412,498,-52,-29,-9,463,-46,-19,-6
23,1,421,498,-62,-38,-9,463,-46,-19,-6
23,1,428,498,-62,-38,-9,463,-57,-32,-6
23,1,434,498,-62,-38,-9,463,-57,-32,-6
23,1,443,498,-62,-38,-9,463,-57,-32,-6
23,1,451,498,-62,-38,-9,463,-57,-32,-6
23,1,457,498,-50,-27,-9,463,-57,-32,-6
23,1,466,498,-50,-27,-9,463,-57,-32,-6
23,1,472,498,-44,-18,-9,463,-57,-32,-6
23,1,481,498,-44,-18,-9,463,-57,-32,-6
23,1,488,498,-44,-18,-9,463,-57,-32,-6
23,1,496,498,-44,-18,-9,463,-57,-32,-6
23,1,502,498,-44,-18,-9,498,-57,-32,-6
23,1,510,498,-44,-18,-9,498,-57,-32,-6
23,1,517,498,-44,-18,-9,498,-57,-32,-6
23,1,525,498,-57,-35,-9,498,-57,-32,-6
